Unnamed: 0,"('000001.SS', 'Open')","('000001.SS', 'High')","('000001.SS', 'Low')","('000001.SS', 'Close')","('000001.SS', 'Volume')","('AAPL', 'Open')","('AAPL', 'High')","('AAPL', 'Low')","('AAPL', 'Close')","('AAPL', 'Volume')","('XLE', 'Open')","('XLE', 'High')","('XLE', 'Low')","('XLE', 'Close')","('XLE', 'Volume')","('XLC', 'Open')","('XLC', 'High')","('XLC', 'Low')","('XLC', 'Close')","('XLC', 'Adj Close')","('XLC', 'Volume')","('XLF', 'Open')","('XLF', 'High')","('XLF', 'Low')","('XLF', 'Close')","('XLF', 'Volume')","('NVDA', 'Open')","('NVDA', 'High')","('NVDA', 'Low')","('NVDA', 'Close')","('NVDA', 'Volume')","('XLU', 'Open')","('XLU', 'High')","('XLU', 'Low')","('XLU', 'Close')","('XLU', 'Volume')","('XLI', 'Open')","('XLI', 'High')","('XLI', 'Low')","('XLI', 'Close')","('XLI', 'Volume')","('META', 'Open')","('META', 'High')","('META', 'Low')","('META', 'Close')","('META', 'Volume')","('GOOGL', 'Open')","('GOOGL', 'High')","('GOOGL', 'Low')","('GOOGL', 'Close')","('GOOGL', 'Volume')","('XLY', 'Open')","('XLY', 'High')","('XLY', 'Low')","('XLY', 'Close')","('XLY', 'Volume')","('^FVX', 'Open')","('^FVX', 'High')","('^FVX', 'Low')","('^FVX', 'Close')","('^FVX', 'Volume')","('XLV', 'Open')","('XLV', 'High')","('XLV', 'Low')","('XLV', 'Close')","('XLV', 'Volume')","('XLB', 'Open')","('XLB', 'High')","('XLB', 'Low')","('XLB', 'Close')","('XLB', 'Volume')","('AMZN', 'Open')","('AMZN', 'High')","('AMZN', 'Low')","('AMZN', 'Close')","('AMZN', 'Volume')","('^N225', 'Open')","('^N225', 'High')","('^N225', 'Low')","('^N225', 'Close')","('^N225', 'Volume')","('TSLA', 'Open')","('TSLA', 'High')","('TSLA', 'Low')","('TSLA', 'Close')","('TSLA', 'Volume')","('JNJ', 'Open')","('JNJ', 'High')","('JNJ', 'Low')","('JNJ', 'Close')","('JNJ', 'Volume')","('MSFT', 'Open')","('MSFT', 'High')","('MSFT', 'Low')","('MSFT', 'Close')","('MSFT', 'Volume')","('^FTSE', 'Open')","('^FTSE', 'High')","('^FTSE', 'Low')","('^FTSE', 'Close')","('^FTSE', 'Volume')","('UNH', 'Open')","('UNH', 'High')","('UNH', 'Low')","('UNH', 'Close')","('UNH', 'Volume')","('XLRE', 'Open')","('XLRE', 'High')","('XLRE', 'Low')","('XLRE', 'Close')","('XLRE', 'Adj Close')","('XLRE', 'Volume')","('^TNX', 'Open')","('^TNX', 'High')","('^TNX', 'Low')","('^TNX', 'Close')","('^TNX', 'Volume')","('XLK', 'Open')","('XLK', 'High')","('XLK', 'Low')","('XLK', 'Close')","('XLK', 'Volume')","('BRK-B', 'Open')","('BRK-B', 'High')","('BRK-B', 'Low')","('BRK-B', 'Close')","('BRK-B', 'Volume')","('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')","('year_month', '')",RECPROUSM156N,CORESTICKM159SFRBATL,PCETRIM12M159SFRBDAL,CPALTT01USM657N,PSAVERT,AISRSA,ANFCI,UNRATE,open,high,low,close,volume,change_5,kama_5_30,adxr,mdi,chop_14,mfi_5,mfi_14,cci,sma_5,sma_20,ema_5,ema_20,macd,macd_signal,rsi,cr,cr_ma2,cr_ma3
0,,,,,,0.3317818965444236,0.3505900204181671,0.3304278044396608,0.3505900204181671,529496800.0,14.272288456765793,14.272288456765793,13.951562678720432,14.165379524230955,289900.0,,,,,,,13.261208352068632,13.387988507935884,13.134428196201378,13.322063446044922,632857.0,0.5134441575974903,0.5230726757773173,0.5005291391728031,0.5142841339111328,1298904000.0,12.3278530921316,12.57087579469384,12.235063203305163,12.56203842163086,22500.0,17.886362154006182,17.951168060302734,17.69194443511653,17.951168060302734,2623400.0,,,,,,,,,,,21.909355089976096,21.909355089976096,21.453700974276853,21.7878475189209,1201300.0,4.36299991607666,4.488999843597412,4.303999900817871,4.466000080108643,0.0,18.733961520124176,18.733961520124176,18.458461042785345,18.720186233520508,182900.0,12.920687543627158,13.05326880840607,12.920687543627158,13.005057334899902,40700.0,0.546500027179718,0.550000011920929,0.5239999890327454,0.5479999780654907,130392000.0,,,,,,,,,,,31.421200314676952,31.634585847492744,30.71702418985697,31.31450653076172,7054600.0,20.465907534007943,20.607157324150712,20.11585319697524,20.585662841796875,48124000.0,5217.39990234375,5261.89990234375,5195.2001953125,5218.2998046875,630830000.0,13.860117019444012,13.99673865632391,13.691815900620195,13.943277359008787,4607200.0,,,,,,,5.065999984741211,5.173999786376953,5.019999980926514,5.1570000648498535,0.0,18.26056096347097,18.477592909382462,18.036046437119147,18.41023826599121,3182000.0,49.79999923706055,49.79999923706055,48.5,49.68000030517578,1130000.0,1148.0799560546875,1154.6700439453125,1136.22998046875,1154.6700439453125,1171000000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.3460761865657573,0.3573613950668236,0.3426155439823785,0.354803204536438,612007200.0,14.197453031912454,14.27228969902427,14.01036289347176,14.079854011535645,309500.0,,,,,,,13.387984782563056,13.438697545213897,13.291632795841243,13.41334056854248,194129.0,0.5153542396247032,0.5502003005645301,0.5150489229026254,0.5479838848114014,1414752000.0,12.592970132241726,12.628318786621094,12.425064234634332,12.628318786621094,71700.0,17.95115997157036,17.95115997157036,17.750261628968186,17.944679260253906,51800.0,,,,,,,,,,,21.833416590878457,21.90935919915238,21.651155200111905,21.71950340270996,83400.0,4.445000171661377,4.459000110626221,4.4079999923706055,4.436999797821045,0.0,18.733961658318407,18.80283546447754,18.630648321712417,18.80283546447754,9300.0,13.023132408331866,13.25816311388989,12.93876149779808,13.24610996246338,138100.0,0.5565000176429749,0.597000002861023,0.5525000095367432,0.5950000286102295,217514000.0,,,,,,,,,,,31.31452548434701,31.33052884936544,30.87708253703888,31.303855895996094,6413100.0,20.607151769968805,21.264271302215143,20.60100915225309,21.25813102722168,67590800.0,5218.2998046875,5328.39990234375,5218.2998046875,5318.7998046875,928236000.0,13.802697148507075,13.917538487264324,13.701715867142394,13.786856651306152,5070000.0,,,,,,,5.131999969482422,5.1570000648498535,5.103000164031982,5.119999885559082,0.0,18.64223675042764,19.2708791354482,18.64223675042764,19.21849250793457,2751100.0,49.68000030517578,49.97999954223633,49.2400016784668,49.400001525878906,730000.0,1154.6700439453125,1165.27001953125,1154.010009765625,1165.27001953125,1398900000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,,,,,,,,,,,,,,,,,,,,,,,
2,1643.4849853515625,1643.5,1608.8289794921875,1611.3929443359375,0.0,0.3511925028313021,0.3603711845960341,0.3459261284156495,0.3564589023590088,409976000.0,14.218830017372204,14.218830017372204,14.031739947493849,14.143993377685549,580300.0,,,,,,,13.489413113976788,13.64155025631432,13.489413113976788,13.590837478637695,762974.0,0.5552439645610693,0.5552439645610693,0.5226904455837678,0.5320135951042175,936288000.0,12.659244444978013,12.681337873181588,12.504593818665434,12.570873260498049,76200.0,18.01597273052944,18.119661686175974,17.918764489119532,17.951168060302734,1325400.0,,,,,,,,,,,22.023268078870142,22.213123838170752,21.947325485453007,22.0764274597168,52800.0,4.431000232696533,4.534999847412109,4.423999786376953,4.439000129699707,0.0,19.03700738476513,19.14720703541657,18.89237083591639,19.02323341369629,51000.0,13.414850136456868,13.565511075344135,13.34855895552191,13.49921989440918,232400.0,0.6010000109672546,0.6200000047683716,0.5975000262260437,0.612500011920929,253746000.0,10631.0,10871.490234375,10617.080078125,10871.490234375,0.0,,,,,,31.3038387665931,31.42120213921628,30.91440816245186,31.015766143798828,4778400.0,21.264279369375743,21.466943661879785,21.08618087160973,21.15680694580078,52731400.0,5318.7998046875,5362.2998046875,5313.89990234375,5323.7998046875,1097681000.0,13.812600782212808,13.945261575633983,13.771020601168855,13.86012077331543,2894800.0,,,,,,,5.10699987411499,5.2170000076293945,5.086999893188477,5.140999794006348,0.0,19.502879763170924,19.570234413614514,18.612304144956703,19.33823585510254,4569000.0,49.41999816894531,49.41999816894531,48.70000076293945,49.13999938964844,850000.0,1165.27001953125,1176.550048828125,1163.4200439453125,1172.510009765625,1513000000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1643.4849853515625,1643.5,1608.8289794921875,1611.3929443359375,0.0,,1611.3929443359375,,,,,,,,,1611.3929443359375,1611.3929443359375,0.0,0.0,,2.018333883689982,,
3,1605.740966796875,1605.740966796875,1584.656005859375,1596.760009765625,0.0,0.3569096901064385,0.3611227896538946,0.3423146646875168,0.3445720374584198,444584000.0,14.245554949181642,14.967187402874853,14.05846490273396,14.138647079467772,332100.0,,,,,,,13.641546865672847,13.68718728261466,13.489409761149382,13.555335998535156,495108.0,0.5341528436767451,0.5349167368438553,0.5105400947641261,0.5177229642868042,973068000.0,12.637150806640085,12.681336816587596,12.53110488843288,12.58412742614746,39800.0,18.106692112669585,18.139094430995247,17.828027725219727,17.828027725219727,1613300.0,,,,,,,,,,,22.26629215106403,22.36501799665519,21.94733428955078,21.94733428955078,44400.0,4.416999816894531,4.423999786376953,4.335999965667725,4.335999965667725,0.0,19.319402597873623,19.35384082480659,19.04390335083008,19.04390335083008,25600.0,13.601669378830596,13.661933984275851,13.49921989440918,13.49921989440918,419400.0,0.6039999723434448,0.6255000233650208,0.6039999723434448,0.6169999837875366,243658000.0,10803.4501953125,10979.919921875,10803.4501953125,10942.3603515625,0.0,,,,,,30.887730471211032,31.20780975727991,30.813043405114787,30.87172508239746,4509300.0,21.41780912152237,21.50071573893668,20.987917143728616,21.05240058898925,58508800.0,5323.7998046875,5354.2001953125,5277.7001953125,5293.60009765625,900070000.0,13.89971984234765,13.953181151558404,13.58291739925262,13.77101993560791,3896800.0,,,,,,,5.119999885559082,5.132999897003174,5.057000160217285,5.057000160217285,0.0,19.457981951974364,19.570239254673023,19.09127400186326,19.128692626953125,1551500.0,49.47999954223633,49.59999847412109,49.0,49.18000030517578,720000.0,1172.510009765625,1176.969970703125,1163.550048828125,1164.8900146484375,1308300000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1605.740966796875,1605.740966796875,1584.656005859375,1596.760009765625,0.0,,1596.760009765625,,,,,,,,,1606.515299479167,1609.999331519717,-1.167299623842382,-0.23345992476847643,,1.9980441350886171,2.0081890093892993,
4,1594.866943359375,1607.7220458984375,1582.447998046875,1583.4610595703125,0.0,0.3423147529171583,0.3468286709246137,0.3379508292477513,0.3402082026004791,450038400.0,14.192107969736185,14.192107969736185,14.005018844436478,14.015708923339844,266000.0,,,,,,,13.565474223927726,13.565474223927726,13.291629423446736,13.36769676208496,338279.0,0.5166538609065484,0.5362923580048065,0.5148959661506914,0.5238367319107056,774360000.0,12.504598458228084,12.544365800971224,12.425064615520224,12.429482460021973,390600.0,17.951163427753357,17.983565754504834,17.68546039296876,17.776187896728516,226600.0,,,,,,,,,,,22.02327919006348,22.25110563677349,21.985308598440216,22.02327919006348,37600.0,4.335999965667725,4.373000144958496,4.298999786376953,4.328999996185303,0.0,18.89926058274707,19.25052250094329,18.89926058274707,19.14720916748047,33200.0,13.52332641557059,13.52332641557059,13.258162836984408,13.27021598815918,258600.0,0.6134999990463257,0.6159999966621399,0.5874999761581421,0.5924999713897705,120822000.0,10841.9697265625,10843.259765625,10662.25,10695.599609375,0.0,,,,,,30.983765320489933,30.99443287001532,30.40761996539103,30.66901969909668,4505900.0,21.09231999470428,21.451585897972567,20.88044414998172,21.3041934967041,47736400.0,5293.60009765625,5307.2998046875,5238.7001953125,5250.39990234375,1495695000.0,13.731419904537963,13.751219775744628,13.56707810331932,13.733400344848633,5042000.0,,,,,,,5.065999984741211,5.091000080108643,5.027999877929688,5.057000160217285,0.0,19.04636144236965,19.40558519480734,18.993973396139392,19.270875930786133,616500.0,48.79999923706055,48.93999862670898,47.7400016784668,47.7599983215332,315000.0,1164.8900146484375,1167.5999755859375,1157.4599609375,1160.7099609375,1258800000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1594.866943359375,1607.7220458984375,1582.447998046875,1583.4610595703125,0.0,,1583.4610595703125,,,,,,,,,1598.8305528428823,1607.4718770483453,-3.1294329672327876,-0.8126545332613387,,2.014681715514366,2.0063629253014916,2.0103532447643215
5,1580.7110595703125,1580.719970703125,1552.5579833984375,1561.3489990234375,0.0,0.3430671410882074,0.3450228679719933,0.3201958845076753,0.325763076543808,327835200.0,14.005014424111245,14.127958958949394,13.903451059890669,14.03174114227295,449800.0,,,,,,,13.438694953918455,13.590830831151628,13.367697576174034,13.438694953918455,494493.0,0.5310966507781112,0.5406481055065793,0.5093178735485066,0.5166538953781128,1141188000.0,12.438320397582068,12.478087742125211,12.305763144290564,12.319018363952637,26000.0,17.88635966342264,18.01597022189829,17.627137310401665,17.67898178100586,180800.0,,,,,,,,,,,22.02327238732088,22.17515760386873,21.71950340270996,21.71950340270996,856200.0,4.35099983215332,4.388000011444092,4.328999996185303,4.328999996185303,0.0,19.07834157776304,19.346953179419994,19.02324172835433,19.04390335083008,20100.0,13.40883152107616,13.426911258278237,13.191879272460938,13.191879272460938,207100.0,0.5979999899864197,0.6085000038146973,0.5649999976158142,0.5764999985694885,217592000.0,10661.25,10747.599609375,10638.4296875,10663.98046875,0.0,,,,,,30.380935413369084,30.83438139050312,30.27424164374508,30.359596252441406,6491400.0,21.40859395794952,21.684953207687386,21.0493281046515,21.09845733642578,76304000.0,5250.39990234375,5250.39990234375,5200.7001953125,5228.5,1513884000.0,13.711614014455709,13.915555468565156,13.70369376732306,13.772994041442873,6437600.0,,,,,,,5.091000080108643,5.119999885559082,5.061999797821045,5.061999797821045,0.0,19.570227106310963,19.697452351041186,19.008939513812017,19.12119674682617,2242000.0,47.400001525878906,48.7400016784668,47.400001525878906,48.5,520000.0,1160.7099609375,1174.260009765625,1151.8900146484375,1155.1400146484375,1452000000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1580.7110595703125,1580.719970703125,1552.5579833984375,1561.3489990234375,0.0,,,,,,,,,,,1586.336701569734,1603.0792219983541,-6.394978929842409,-1.929119412577553,,2.006776163472295,2.0107289394933305,2.006500671358426
6,1556.737060546875,1580.0069580078125,1523.6629638671875,1576.43701171875,0.0,0.3192933210123562,0.3229039562053708,0.3046974460828737,0.3194433152675628,452737600.0,13.914143221380872,13.98897885361632,13.876724385704126,13.924833297729492,42200.0,,,,,,,13.387979507446287,13.514760768773185,13.36262373145752,13.387979507446287,479105.0,0.5139028904218331,0.5209326117901324,0.499765506071793,0.5042743682861328,992508000.0,12.23947936146917,12.442733843260756,12.217385933375668,12.41622257232666,35100.0,17.659546075043856,17.685468937825473,17.491051175173737,17.49753189086914,26100.0,,,,,,,,,,,21.795448221546746,21.94733200501435,21.71950560557049,21.87138938903809,354900.0,4.315000057220459,4.315000057220459,4.183000087738037,4.204999923706055,0.0,19.04391249900076,19.140338267049305,18.906163466150165,19.09901237487793,10000.0,13.197900383147948,13.197900383147948,12.830288407973748,12.96286964416504,39600.0,0.5830000042915344,0.5835000276565552,0.5435000061988831,0.5519999861717224,162518000.0,10652.169921875,10710.48046875,10494.349609375,10538.4296875,0.0,,,,,,30.23158308935611,31.149147259068314,30.194240550822776,31.090465545654297,5305900.0,21.027836216491377,21.43316238512352,20.920361469722785,21.273487091064453,50296600.0,5228.5,5228.5,5177.60009765625,5190.7001953125,1821097000.0,13.715581097199191,14.028424237054072,13.715581097199191,13.978923797607422,5205200.0,,,,,,,5.065999984741211,5.065999984741211,4.936999797821045,4.961999893188477,0.0,19.0463729880912,19.173598322630816,18.881727597846304,18.96405029296875,861600.0,48.97999954223633,49.09999847412109,47.81999969482422,47.900001525878906,205000.0,1155.1400146484375,1159.9300537109375,1150.8499755859375,1156.550048828125,1299000000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1556.737060546875,1580.0069580078125,1523.6629638671875,1576.43701171875,0.0,,,,,,,,,1585.8800048828125,,1583.0368049527394,1600.5418686383919,-7.676975706280018,-3.0786906713180464,,1.9687877782640653,1.98778197086818,1.9967485524169089
7,1574.260986328125,1574.2679443359375,1535.2840576171875,1535.593017578125,0.0,0.3218506986304355,0.3286219866085362,0.3099638604517698,0.3167351484298706,348801600.0,13.946217680712154,13.946217680712154,13.641528536386122,13.657564163208008,140900.0,,,,,,,13.59082846136355,13.59082846136355,13.311912536621092,13.311912536621094,3818562.0,0.5076361093969756,0.5077892050834978,0.4799738340880708,0.4819600880146026,1380852000.0,12.504598795843432,12.504598795843432,12.29692554473877,12.29692554473877,262900.0,17.465116512716687,17.57528612516907,17.212373733520508,17.212373733520508,34300.0,,,,,,,,,,,21.68153572579904,21.82582656563008,21.42333167493719,21.4613037109375,27700.0,4.228000164031982,4.228000164031982,4.03000020980835,4.066999912261963,0.0,19.00947104167038,19.112783120123364,18.975032806396484,18.975032806396484,5300.0,12.962870413095088,12.980950143878513,12.806182861328123,12.806182861328123,50200.0,0.5515000224113464,0.5669999718666077,0.546500027179718,0.5515000224113464,85536000.0,10536.25,10571.5,10441.58984375,10441.58984375,0.0,,,,,,30.983757205661345,31.165133990301605,30.8077121593722,31.06377601623535,5158500.0,21.347184940278893,21.592838190038723,20.911152647542064,21.06775665283203,72993200.0,5190.7001953125,5229.5,5171.7001953125,5198.60009765625,1295964000.0,13.988817736404243,14.26205948640946,13.903676961233858,14.206619262695312,5914800.0,,,,,,,4.96999979019165,4.96999979019165,4.830999851226807,4.859000205993652,0.0,19.053840884380293,19.15113152678954,18.72455321257626,18.784423828125,1731800.0,48.0,49.29999923706055,48.0,49.29999923706055,695000.0,1156.550048828125,1159.4100341796875,1145.449951171875,1145.5999755859375,1211900000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1574.260986328125,1574.2679443359375,1535.2840576171875,1535.593017578125,0.0,-75.7999267578125,,,,,,,,1570.72001953125,,1567.2222091612014,1594.3562637755094,-11.85211259127368,-4.833375055309173,,2.0249844629128257,1.9968861205884456,2.000182801549729
8,1519.9320068359375,1519.9320068359375,1484.4639892578125,1485.1080322265625,0.0,0.3161335269525417,0.3220015348022697,0.3144777891070741,0.318240076303482,415996000.0,13.470480159662957,13.652224809308091,13.470480159662957,13.491861343383787,308700.0,,,,,,,13.235845051724596,13.311913578376169,13.21048927307129,13.210489273071287,3340565.0,0.4808908405417174,0.4842526054956576,0.4566664397716522,0.4566664397716522,1369560000.0,12.23948343137539,12.473667947591442,12.23948343137539,12.411808013916016,42400.0,17.3355128810312,17.3355128810312,17.01796531677246,17.01796531677246,77600.0,,,,,,,,,,,21.339788963622432,21.491672711427952,21.301816940307617,21.301816940307617,562500.0,4.061999797821045,4.081999778747559,4.038000106811523,4.081999778747559,0.0,18.87171718856843,19.00946747646036,18.80972969038547,18.8372802734375,77400.0,12.721811155955924,12.721811155955924,12.384329795837402,12.384329795837402,47200.0,0.5400000214576721,0.5414999723434448,0.5044999718666077,0.5055000185966492,119466000.0,,,,,,,,,,,31.3038385874477,31.645257085836025,31.18647521549617,31.431869506835938,5401200.0,20.97257207754293,21.19979986439052,20.800613825066986,21.02477264404297,50997800.0,5198.60009765625,5198.60009765625,5095.60009765625,5113.5,992953000.0,14.208605513940784,14.501647247900037,14.208605513940784,14.35512638092041,7298800.0,,,,,,,4.839000225067139,4.868000030517578,4.809999942779541,4.868000030517578,0.0,18.672176618099027,18.76946588526588,18.35785536101015,18.492563247680664,1294400.0,48.79999923706055,49.47999954223633,48.79999923706055,49.380001068115234,540000.0,1145.5999755859375,1145.5999755859375,1138.1500244140625,1138.4100341796875,1286400000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1519.9320068359375,1519.9320068359375,1484.4639892578125,1485.1080322265625,0.0,-111.6519775390625,,,,,,,,1548.3896240234376,,1539.8508168496553,1583.9516702946576,-19.01545670196265,-7.669791384639868,,2.023015114657605,2.0239997887852157,2.0055957852781656
9,1475.3380126953125,1491.7030029296875,1458.02001953125,1459.6529541015625,0.0,0.3207974521275744,0.3274179177254798,0.3191425429025128,0.3265154659748077,290320800.0,13.711020469665527,13.801892772222097,13.668257093142396,13.711020469665527,122900.0,,,,,,,13.240922238961074,13.499553680419922,13.240922238961074,13.499553680419922,3054111.0,0.4756940222601024,0.4996121395715797,0.4751594173573977,0.4993067681789398,1838808000.0,12.535524555697256,12.535524555697256,12.341106602364963,12.41622257232666,86600.0,16.875392787418733,17.069809253752414,16.81058688661759,17.03740692138672,82500.0,,,,,,,,,,,21.26384395279937,21.49167027289988,21.26384395279937,21.43851089477539,45400.0,4.111000061035156,4.1479997634887695,4.066999912261963,4.081999778747559,0.0,19.009461800112064,19.098998540926694,18.87859919705956,19.07144927978516,14900.0,12.414467409499986,12.58320700444716,12.38433451793636,12.444599151611328,20000.0,0.5170000195503235,0.5210000276565552,0.5080000162124634,0.5145000219345093,101846000.0,10359.4404296875,10359.4404296875,10208.0498046875,10208.0498046875,0.0,,,,,,31.543918975445376,31.70395874300148,31.28251912825809,31.56525611877441,6218100.0,21.08310398541432,21.377886383379867,21.03397241439228,21.35639190673828,60717400.0,5113.5,5175.39990234375,5081.89990234375,5166.0,1339596000.0,14.374918344795928,14.394718206094923,14.236317805070373,14.38481903076172,5045600.0,,,,,,,4.880000114440918,4.90500020980835,4.818999767303467,4.830999851226807,0.0,18.53746412654308,18.784430684250413,18.395270827430192,18.612302780151367,1220400.0,49.540000915527344,49.79999923706055,49.47999954223633,49.59999847412109,450000.0,1138.4100341796875,1148.81005859375,1136.8800048828125,1146.18994140625,1386900000.0,2002-01,3.68,3.557463,2.24,0.2263723825693279,5.6,2.305,,5.7,1475.3380126953125,1491.7030029296875,1458.02001953125,1459.6529541015625,0.0,-123.80810546875,,,,,,,,1523.6280029296875,,1513.1181959336245,1572.1136973238868,-26.44166750290742,-11.42416660829338,,2.020838593291879,2.021926853974742,2.0229460569541033
